Name,Active_Cases,Deaths,Recovery
USA,"11,15,68,359","12,16,502","10,93,35,248"
Poland,"66,60,777","1,20,578",N/A
Colombia,"64,00,173","1,43,200","62,12,152"
Portugal,"56,42,449","28,103","42,37,853"
Greece,"61,01,379","37,869",N/A
Chile,"53,69,761","64,497","52,52,450"
Malaysia,"52,76,312","37,348","52,30,953"
Austria,"60,81,287","22,542","60,54,934"
Ukraine,"55,57,995","1,12,418","49,04,953"
Indonesia,"68,29,005","1,62,062","66,47,104"
Netherlands,"86,34,822","22,992","84,45,834"
China,"5,03,302","5,272","3,79,053"
Mexico,"77,02,809","3,34,958","68,99,865"
Taiwan,"1,02,41,523","19,005","1,00,75,840"
Iran,"76,26,527","1,46,799",N/A
Vietnam,"1,16,25,195","43,206","1,06,40,971"
Argentina,"1,00,94,643","1,30,733","90,64,882"
Tokelau,80,0,0
Vatican City,29,0,29
Niue,"1,059",0,"1,056"
Western Sahara,10,1,9
Saint Helena,"2,166",0,2
Falkland Islands,"1,930",0,"1,881"
Tuvalu,"2,943",1,N/A
Montserrat,"1,403",8,"1,376"
Wallis and Futuna,"3,550",8,438
Saint Pierre Miquelon,"3,452",2,"2,449"
Kiribati,"5,085",24,"2,703"
Nauru,"5,393",1,"5,347"
Anguilla,"3,904",12,N/A
Palau,"6,279",10,"6,268"
St. Barth,"5,507",6,N/A
Saint Kitts and Nevis,"6,607",48,"6,559"
Cook Islands,"7,203",2,"7,150"
Sao Tome and Principe,"6,752",80,"6,672"
Turks and Caicos,"6,749",40,"6,694"
Chad,"7,701",194,"4,874"
British Virgin Islands,"7,392",64,N/A
Sierra Leone,"7,779",126,N/A
Liberia,"8,090",295,"7,783"
Antigua and Barbuda,"9,106",146,"8,954"
Comoros,"9,109",161,"8,939"
St. Vincent Grenadines,"9,674",124,"9,493"
Guinea-Bissau,"9,614",177,"8,929"
Niger,"9,931",312,"8,890"
Eritrea,"10,189",103,"10,086"
Sint Maarten,"11,051",92,"10,905"
Caribbean Netherlands,"11,682",38,"10,476"
Yemen,"11,945","2,159","9,124"
Gambia,"12,626",372,"12,189"
Greenland,"11,971",21,"2,761"
Saint Martin,"12,324",63,N/A
Vanuatu,"12,019",14,"11,976"
CAR,"15,440",113,"15,200"
Dominica,"16,038",74,"15,953"
Marshall Islands,"16,138",17,"16,121"
Djibouti,"15,690",189,"15,427"
Tonga,"16,950",13,"15,638"
Equatorial Guinea,"17,229",183,"16,907"
Tajikistan,"17,786",125,"17,264"
Samoa,"17,006",31,"1,605"
Monaco,"17,181",67,N/A
Nicaragua,"18,491",225,"4,225"
South Sudan,"18,819",147,"18,115"
Bermuda,"18,860",165,"18,685"
Grenada,"19,693",238,"19,358"
Gibraltar,"20,550",113,N/A
Liechtenstein,"21,573",94,N/A
Timor-Leste,"23,460",138,"23,102"
Burkina Faso,"22,109",400,"21,596"
Congo,"25,375",386,"24,006"
Macao,"23,803",123,"3,487"
Solomon Islands,"25,954",199,N/A
San Marino,"26,185",128,"26,011"
Micronesia,"26,547",65,N/A
Somalia,"27,334","1,361","13,182"
Benin,"28,036",163,"27,847"
Cayman Islands,"31,472",37,"8,553"
Saint Lucia,"30,215",410,"29,798"
Mali,"33,164",743,"32,332"
Faeroe Islands,"34,658",28,N/A
Lesotho,"36,138",723,"25,980"
Haiti,"34,667",860,"33,734"
Isle of Man,"38,008",116,N/A
Bahamas,"38,084",844,"36,366"
Mayotte,"42,027",188,N/A
Guinea,"38,572",468,"37,757"
Togo,"39,569",290,"39,277"
Mauritius,"43,025","1,051","41,278"
Tanzania,"43,223",846,N/A
Aruba,"44,224",292,"42,438"
Gabon,"49,051",307,"48,674"
Curaçao,"45,986",295,"44,720"
Andorra,"48,015",165,N/A
Papua New Guinea,"46,864",670,"46,168"
